member_0,member_1,member_2,member_3,member_4
0,4,5,0,6
0,3,4,2,7
0,4,5,0,6
0,4,5,0,6
0,4,5,6,7
0,4,5,6,7
5,4,4,0,6
0,3,4,6,7
0,3,4,2,7
2,3,6,0,6
0,4,5,6,7
0,3,4,2,7
1,6,4,5,4
0,3,4,4,7
0,5,5,6,7
0,3,4,6,7
0,2,4,7,7
0,4,5,6,7
0,1,5,7,7
0,3,4,2,7
0,5,4,7,7
0,4,5,6,7
0,3,4,0,6
1,4,4,6,7
0,3,4,3,7
0,3,4,2,7
0,3,5,7,6
1,3,6,0,6
0,4,5,6,7
0,4,5,6,7
0,3,5,0,6
0,3,5,7,6
0,3,4,0,6
0,4,5,6,7
3,2,5,2,7
0,4,5,6,7
0,4,5,6,7
0,3,4,4,7
0,4,5,6,7
0,4,5,6,7
0,4,5,6,7
0,5,5,6,7
0,3,4,3,7
0,4,5,6,7
0,3,4,0,6
0,3,5,7,6
0,4,5,7,6
0,3,4,0,7
0,8,5,7,7
0,4,4,0,6
0,4,5,7,6
0,3,5,0,6
0,3,4,4,7
0,3,4,6,7
0,3,5,7,6
0,3,5,0,6
0,4,5,0,6
0,4,5,6,7
0,4,5,6,7
0,4,5,6,7
0,3,4,6,7
0,3,4,3,7
0,3,5,7,6
0,6,5,6,7
0,3,4,2,7
4,4,4,0,6
0,4,5,0,6
0,3,4,0,6
0,3,4,6,7
0,3,5,7,6
0,3,5,7,6
0,3,5,0,6
0,4,5,0,6
0,5,5,6,7
0,4,5,7,6
0,3,5,0,6
0,3,4,3,7
0,4,5,0,6
0,3,4,2,7
0,4,5,0,6
3,3,5,2,7
0,4,5,7,6
1,3,4,2,7
0,4,5,0,6
0,3,5,7,6
3,3,5,3,4
0,4,5,7,6
2,0,5,2,7
0,3,4,5,7
0,3,4,6,7
0,3,4,0,6
0,4,5,0,6
0,4,5,0,6
2,0,5,2,7
0,3,5,0,6
0,3,5,0,6
0,4,5,7,6
0,4,5,6,7
0,5,5,6,7
0,3,5,7,6
0,3,4,3,7
0,4,5,6,7
4,3,5,3,4
0,9,4,7,7
0,4,5,6,7
0,9,4,7,7
0,3,5,7,6
2,1,5,3,4
0,4,5,6,7
0,3,4,2,7
0,3,4,2,7
0,4,5,6,7
0,3,5,0,6
0,1,4,0,6
0,5,5,6,7
0,3,5,7,6
0,3,5,0,6
0,4,5,0,6
0,4,5,6,7
0,3,5,0,6
2,2,5,3,7
0,4,5,6,7
0,4,5,0,6
0,3,4,2,7
0,3,5,7,6
0,4,5,6,7
0,4,5,6,7
0,3,5,7,6
0,4,5,0,6
0,3,5,7,6
0,4,5,6,7
0,4,5,6,7
1,5,4,2,7
0,4,5,6,7
1,4,6,0,6
0,3,5,0,6
0,3,4,2,7
5,4,4,0,6
3,2,5,3,4
0,0,4,7,7
0,3,4,0,6
0,3,5,0,6
0,4,5,0,6
0,4,5,6,7
0,5,5,6,7
0,3,4,3,7
0,4,5,0,6
1,4,4,3,7
0,3,4,3,7
0,4,5,7,6
3,3,5,3,4
1,4,6,0,6
0,4,5,6,7
0,3,4,2,7
0,3,4,2,7
0,4,5,6,7
0,4,5,6,7
0,3,5,0,6
3,3,5,3,7
1,4,6,0,6
1,5,4,3,7
0,4,5,7,6
0,4,5,6,7
0,4,5,6,7
0,4,5,0,6
0,4,5,6,7
0,4,5,0,6
0,5,5,6,7
0,4,5,6,7
0,4,5,0,6
4,3,5,3,4
0,3,4,2,7
0,4,5,7,6
0,4,5,7,6
0,3,4,4,7
0,4,5,7,6
0,3,5,0,6
0,4,5,6,7
0,4,5,6,7
0,4,5,7,6
0,3,5,0,6
0,6,4,7,7
0,3,4,5,7
0,4,5,6,7
0,3,4,7,7
0,3,5,0,6
0,4,5,7,6
0,3,5,7,6
0,4,5,6,7
0,4,5,0,6
0,4,5,0,6
0,4,5,6,7
0,4,5,6,7
0,4,5,7,6
0,4,5,6,7
0,4,5,0,6
0,3,4,2,7
0,4,5,6,7
0,4,5,6,7
2,0,5,2,7
0,4,5,6,7
0,4,5,0,6
0,4,5,7,6
0,4,5,6,7
0,3,4,6,7
0,5,5,6,7
0,3,5,7,6
0,3,4,6,7
0,4,5,0,6
0,4,5,6,7
0,4,5,6,7
0,3,4,0,6
0,4,5,6,7
3,3,5,2,7
0,3,5,0,6
0,3,4,3,7
0,4,5,6,7
3,3,5,3,7
0,4,5,6,7
0,4,5,6,7
0,4,5,6,7
0,5,5,6,7
0,3,4,5,7
0,3,4,3,7
0,4,5,6,7
0,4,5,7,6
0,3,5,0,6
3,3,5,3,7
0,3,5,7,6
1,4,4,2,7
0,4,5,7,6
0,3,4,5,7
0,5,5,6,7
0,3,5,7,6
1,3,5,0,6
0,4,5,6,7
0,4,5,6,7
1,4,4,5,7
0,3,4,5,7
0,4,5,7,6
0,3,4,2,7
0,4,5,6,7
0,3,5,0,6
0,4,5,0,6
1,4,4,2,7
0,4,5,6,7
0,3,5,0,6
5,2,5,3,4
0,3,5,7,6
0,3,4,2,7
0,3,4,4,7
0,3,4,5,7
0,4,5,6,7
0,4,5,6,7
0,3,4,0,6
1,4,5,0,6
0,4,5,0,6
0,3,5,0,6
0,4,5,6,7
0,4,5,6,7
0,5,5,6,7
0,4,5,6,7
0,4,5,7,6
0,3,5,0,6
0,4,5,6,7
0,3,5,0,6
0,4,5,6,7
0,3,4,6,7
0,4,5,0,6
0,4,5,6,7
0,9,4,7,7
0,4,5,6,7
0,3,5,7,6
0,4,5,6,7
0,3,5,0,6
0,3,4,5,7
0,4,5,6,7
0,3,5,0,6
0,4,5,7,6
3,3,5,3,7
0,3,5,0,6
